tool,experiment,folder,group,n_windows,n_stream,n_scored,n_refused,threshold,roc_auc,auc_refusal,first_anomaly_window,last_anomaly_window,n_pre,n_pre_fired,detected,delay_windows,n_post,n_post_fired,recovered,refusal
screen,valve1__12,valve1,labelled,21,18,18,0,26.8557,1.0,,10.0,17.0,7.0,5.0,True,0.0,3.0,2.0,False,
screen,valve1__13,valve1,labelled,20,17,17,0,25.1676,1.0,,10.0,16.0,7.0,0.0,True,0.0,3.0,0.0,True,
screen,valve1__14,valve1,labelled,20,17,17,0,3.1144,0.7571,,10.0,16.0,7.0,6.0,True,0.0,3.0,2.0,True,
screen,valve1__15,valve1,labelled,21,18,18,0,22.0422,1.0,,10.0,17.0,7.0,0.0,True,0.0,3.0,1.0,True,
screen,valve1__2,valve1,labelled,20,17,16,1,1122.9147,0.7,,11.0,16.0,7.0,0.0,False,,3.0,0.0,,
screen,valve1__3,valve1,labelled,21,18,18,0,4.6052,0.5375,,10.0,17.0,7.0,0.0,False,,3.0,0.0,,
screen,valve1__4,valve1,labelled,20,17,17,0,4.2621,0.3143,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
screen,valve1__5,valve1,labelled,20,17,17,0,3.6924,0.7714,,10.0,16.0,7.0,6.0,True,0.0,3.0,3.0,False,
screen,valve1__6,valve1,labelled,20,17,17,0,2.7955,0.125,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
screen,valve1__7,valve1,labelled,21,18,18,0,50.8134,0.9875,,10.0,17.0,7.0,0.0,True,0.0,3.0,2.0,False,
screen,valve1__8,valve1,labelled,20,17,17,0,3.5708,0.6944,,9.0,16.0,6.0,4.0,True,0.0,3.0,3.0,False,
screen,valve1__9,valve1,labelled,21,18,18,0,3.6532,0.6625,,10.0,17.0,7.0,5.0,True,0.0,3.0,3.0,False,
screen,valve2__0,valve2,labelled,20,17,17,0,17.8555,1.0,,10.0,16.0,7.0,3.0,True,0.0,3.0,2.0,False,
screen,valve2__1,valve2,labelled,21,18,17,1,5.003,0.3333,,10.0,16.0,7.0,7.0,True,2.0,4.0,3.0,False,
screen,valve2__2,valve2,labelled,20,17,17,0,3.8753,0.4429,,10.0,16.0,7.0,6.0,True,0.0,3.0,3.0,False,
screen,valve2__3,valve2,labelled,18,15,15,0,4.0602,0.9286,,10.0,17.0,7.0,2.0,True,1.0,0.0,0.0,,
spc,anomaly-free__anomaly-free,anomaly-free,anomaly_free,167,164,164,0,11.0,,record carries one class only in its scored stream windows,,,164.0,162.0,,,,,,
spc,other__1,other,labelled,14,11,11,0,26.0,0.7,,9.0,13.0,6.0,6.0,True,0.0,0.0,0.0,,
spc,other__10,other,labelled,24,21,21,0,17.0,0.9591,,10.0,20.0,7.0,5.0,True,0.0,3.0,3.0,False,
spc,other__11,other,labelled,21,18,18,0,32.0,0.925,,10.0,17.0,7.0,6.0,True,0.0,3.0,3.0,False,
spc,other__12,other,labelled,21,18,18,0,15.0,0.875,,10.0,17.0,7.0,7.0,True,0.0,3.0,2.0,False,
spc,other__13,other,labelled,19,16,16,0,9.0,0.5238,,9.0,15.0,6.0,5.0,True,0.0,3.0,3.0,False,
spc,other__14,other,labelled,16,13,13,0,14.0,1.0,,10.0,15.0,7.0,6.0,True,0.0,0.0,0.0,,
spc,other__2,other,labelled,18,15,13,2,,0.5875,,5.0,12.0,,,,,,,,baseline window refused: window 2: Accelerometer1RMS: no rows in window; Accelerometer2RMS: no rows in window; Current: no rows in window; Temperature: no rows in window; Thermocouple: no rows in window; Voltage: no rows in window; Volume Flow RateRMS: no rows in window
spc,other__3,other,labelled,20,17,17,0,31.0,0.6736,,9.0,16.0,6.0,5.0,True,1.0,3.0,3.0,False,
spc,other__4,other,labelled,21,18,18,0,7.0,0.7792,,14.0,20.0,11.0,8.0,True,0.0,0.0,0.0,,
spc,other__5,other,labelled,21,18,18,0,21.0,0.975,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
spc,other__6,other,labelled,21,18,18,0,9.0,0.975,,10.0,17.0,7.0,4.0,True,0.0,3.0,2.0,False,
spc,other__7,other,labelled,20,17,17,0,17.0,1.0,,10.0,16.0,7.0,6.0,True,0.0,3.0,2.0,False,
spc,other__8,other,labelled,21,18,18,0,16.0,0.8313,,10.0,17.0,7.0,5.0,True,0.0,3.0,2.0,False,
spc,other__9,other,labelled,20,17,17,0,35.0,0.9583,,9.0,16.0,6.0,1.0,True,0.0,3.0,3.0,False,
spc,valve1__0,valve1,labelled,20,17,17,0,9.0,0.5143,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
spc,valve1__1,valve1,labelled,21,18,18,0,13.0,0.85,,10.0,17.0,7.0,7.0,True,0.0,3.0,2.0,False,
spc,valve1__10,valve1,labelled,20,17,17,0,22.0,0.9143,,10.0,16.0,7.0,5.0,True,0.0,3.0,3.0,False,
spc,valve1__11,valve1,labelled,21,18,18,0,12.0,0.25,,10.0,17.0,7.0,7.0,True,2.0,3.0,2.0,False,
spc,valve1__12,valve1,labelled,21,18,18,0,31.0,0.9812,,10.0,17.0,7.0,3.0,True,0.0,3.0,2.0,False,
spc,valve1__13,valve1,labelled,20,17,17,0,35.0,0.9143,,10.0,16.0,7.0,6.0,True,0.0,3.0,3.0,False,
spc,valve1__14,valve1,labelled,20,17,17,0,9.0,0.6714,,10.0,16.0,7.0,7.0,True,0.0,3.0,2.0,True,
spc,valve1__15,valve1,labelled,21,18,18,0,28.0,0.9875,,10.0,17.0,7.0,7.0,True,0.0,3.0,2.0,False,
spc,valve1__2,valve1,labelled,20,17,16,1,40.0,0.9667,,11.0,16.0,7.0,5.0,True,0.0,3.0,3.0,False,
spc,valve1__3,valve1,labelled,21,18,18,0,40.0,0.6312,,10.0,17.0,7.0,0.0,False,,3.0,0.0,,
spc,valve1__4,valve1,labelled,20,17,17,0,10.0,0.5857,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
spc,valve1__5,valve1,labelled,20,17,17,0,18.0,0.6643,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
spc,valve1__6,valve1,labelled,20,17,17,0,6.0,0.8125,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
spc,valve1__7,valve1,labelled,21,18,18,0,40.0,0.8625,,10.0,17.0,7.0,5.0,True,0.0,3.0,2.0,False,
spc,valve1__8,valve1,labelled,20,17,17,0,7.0,0.7153,,9.0,16.0,6.0,5.0,True,0.0,3.0,3.0,False,
spc,valve1__9,valve1,labelled,21,18,18,0,7.0,0.8,,10.0,17.0,7.0,5.0,True,0.0,3.0,2.0,False,
spc,valve2__0,valve2,labelled,20,17,17,0,49.0,0.7786,,10.0,16.0,7.0,4.0,True,0.0,3.0,3.0,False,
spc,valve2__1,valve2,labelled,21,18,17,1,25.0,0.2879,,10.0,16.0,7.0,7.0,True,2.0,4.0,3.0,False,
spc,valve2__2,valve2,labelled,20,17,17,0,16.0,0.6857,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
spc,valve2__3,valve2,labelled,18,15,15,0,14.0,0.9464,,10.0,17.0,7.0,2.0,True,1.0,0.0,0.0,,
