tool,design,split,fold,variant,n_windows,n_scored,n_refused,n_refused_by_design,refused_frac,roc_auc,pr_auc,precision_at_recall_50,n_pos,n_neg,refusal
mad,"pooled-cross-well, own-history windows",well,0,no_transients,333,333,0,0,0.0,0.5229,0.0331,0.0354,6,327,
mad,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,268,0,0,0.0,0.5757,0.047,0.0702,6,262,
mad,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,900,0,0,0.0,0.6298,0.7659,0.8212,573,327,
regime,"pooled-cross-well, own-history windows",well,0,all,900,875,25,0,0.0278,0.6914,0.8408,0.8961,548,327,
regime,"pooled-cross-well, own-history windows",well,0,no_folder9,835,810,25,0,0.0299,0.6856,0.8569,0.8961,548,262,
regime,"pooled-cross-well, own-history windows",well,0,no_transients,333,333,0,0,0.0,0.7023,0.6728,1.0,6,327,
regime,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,268,0,0,0.0,0.7112,0.6746,1.0,6,262,
regime,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,875,25,0,0.0278,0.6914,0.8408,0.8961,548,327,
population,"pooled-cross-well, own-history windows",well,0,all,900,0,900,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,0,no_folder9,835,0,835,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,0,no_transients,333,0,333,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,0,268,0,1.0,,,,0,0,every window in this fold was refused
population,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,0,900,0,1.0,,,,0,0,every window in this fold was refused
spc,"pooled-cross-well, own-history windows",well,0,all,900,900,0,0,0.0,0.5169,0.7084,0.6845,573,327,
spc,"pooled-cross-well, own-history windows",well,0,no_folder9,835,835,0,0,0.0,0.5631,0.7829,0.7817,573,262,
spc,"pooled-cross-well, own-history windows",well,0,no_transients,333,333,0,0,0.0,0.6111,0.2928,0.026,6,327,
spc,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,268,0,0,0.0,0.6807,0.3559,0.0394,6,262,
spc,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,900,0,0,0.0,0.5169,0.7084,0.6845,573,327,
mspc_t2,"pooled-cross-well, own-history windows",well,0,all,900,45,855,0,0.95,0.7857,0.8732,1.0,24,21,
mspc_t2,"pooled-cross-well, own-history windows",well,0,no_folder9,835,36,799,0,0.9569,0.875,0.9571,1.0,24,12,
mspc_t2,"pooled-cross-well, own-history windows",well,0,no_transients,333,22,311,0,0.9339,1.0,1.0,1.0,1,21,
mspc_t2,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,13,255,0,0.9515,1.0,1.0,1.0,1,12,
mspc_t2,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,45,855,0,0.95,0.7857,0.8732,1.0,24,21,
mspc_spe,"pooled-cross-well, own-history windows",well,0,all,900,45,855,0,0.95,0.8571,0.8977,1.0,24,21,
mspc_spe,"pooled-cross-well, own-history windows",well,0,no_folder9,835,36,799,0,0.9569,1.0,1.0,1.0,24,12,
mspc_spe,"pooled-cross-well, own-history windows",well,0,no_transients,333,22,311,0,0.9339,1.0,1.0,1.0,1,21,
mspc_spe,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,13,255,0,0.9515,1.0,1.0,1.0,1,12,
mspc_spe,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,45,855,0,0.95,0.8571,0.8977,1.0,24,21,
iforest,"pooled-cross-well, own-history windows",well,0,all,900,900,0,0,0.0,0.3879,0.6029,0.6384,573,327,
iforest,"pooled-cross-well, own-history windows",well,0,no_folder9,835,835,0,0,0.0,0.4465,0.7081,0.6884,573,262,
iforest,"pooled-cross-well, own-history windows",well,0,no_transients,333,333,0,0,0.0,0.842,0.0799,0.1,6,327,
iforest,"pooled-cross-well, own-history windows",well,0,no_folder9_no_transients,268,268,0,0,0.0,0.9186,0.135,0.1875,6,262,
iforest,"pooled-cross-well, own-history windows",well,0,no_positive_baseline,900,900,0,0,0.0,0.3879,0.6029,0.6384,573,327,
mad,pooled-cross-well,well,1,all,1533,1533,0,0,0.0,0.1778,0.4863,0.6633,1009,524,
mad,pooled-cross-well,well,1,no_folder9,1442,1442,0,0,0.0,0.1843,0.527,0.7006,1003,439,
mad,pooled-cross-well,well,1,no_transients,587,587,0,0,0.0,0.5315,0.1303,0.2603,63,524,
